text,label
"Government has passed a law that all private property will now belong to the state if you have more than two children. Breaking news aayi hai, check this out.",POLITICAL_FAKE
"Viral News: An ancient temple was found under a mosque during road construction in North India, but the police suppressed the news to avoid riots. Share this to show the truth.",COMMUNAL
"Drinking boiling water with lemon and ginger three times a day can cure any viral infection including the latest variant. No need for masks or vaccines. Forward karo.",HEALTH_FAKE
"Dear Customer, your Netflix subscription has expired. Since you are a loyal customer, you get 1 year free. Just click here and enter your credit card details for verification.",SCAM
"The Ministry of External Affairs confirmed that Indian citizens can now travel to over 60 countries either visa-free or with visa-on-arrival facilities.",TRUE
"Gold prices are going to crash to 30,000 per 10 grams by next week because India discovered a massive gold mine in UP. Don't buy gold now. Viral ho raha hai message.",FINANCIAL_FAKE
"Breaking! A major opposition leader was caught on camera saying he hates India and wants to help enemies. Watch the full leaked video before it is deleted by YouTube.",POLITICAL_FAKE
"Rumor alert: There is a plan to change the name of the city tonight to reflect a specific religion. Protests are starting. Keep your children at home and forward this to all.",COMMUNAL
"Ayurvedic miracle! Just smelling a piece of camphor (kapur) and ajwain can increase your oxygen levels instantly from 80 to 95. No need for oxygen cylinders. Sabko bhejo.",HEALTH_FAKE
"Urgent Message: You have been placed under 'Digital Arrest' by CBI for money laundering. Do not disconnect the video call or you will be picked up by local police immediately.",SCAM
"The National Education Policy 2020 aims to increase the Gross Enrolment Ratio in higher education, including vocational education, from 26.3% to 50% by 2035.",TRUE
"Earn 5000 daily by simply liking YouTube videos. No investment required. Our company is a partner of Google. Contact on WhatsApp for more details. 100% real.",FINANCIAL_FAKE
"Central Government is giving free laptops to all students who passed Class 10 this year. Register your name on this link. Limited stocks available, jaldi share karo.",POLITICAL_FAKE
"A specific group is planning to disturb the peace during the festival tomorrow by throwing meat in holy places. Police is on high alert but we must be careful. Forward fast.",COMMUNAL
"World's cheapest medicine for Diabetes! Just eat two leaves of this plant found in Himalayas and your sugar will be normal forever. Sharing is caring, forward to all sugar patients.",HEALTH_FAKE
"Mumbai Police Alert: You have received a courier containing illegal drugs. To avoid jail, transfer 50,000 rupees as 'investigation fee' to the narcotics department account now.",SCAM
"Prime Minister Narendra Modi inaugurated the Sudarshan Setu, India's longest cable-stayed bridge, connecting Okha and Beyt Dwarka in Gujarat.",TRUE
"Invest in this new 'Gold-linked' token. Every token is backed by real gold in a Swiss vault. Guaranteed 20% monthly return. India's top celebrities are investing. Join now.",FINANCIAL_FAKE
"Election Update: EVM machines can be hacked using a simple mobile Bluetooth. A scientist has proved it in a live demo. Save democracy, share this video viral karo.",POLITICAL_FAKE
"Tension in the city! A religious flag was insulted by some goons in the market area. Stone pelting has started. Avoid going towards the station. Forward this to warn others.",COMMUNAL
"Cancer cure found by Indian student! Hot coconut water can kill cancer cells. Add 2-3 slices of coconut in a cup of hot water. It becomes alkaline water. Sabko bhejo.",HEALTH_FAKE
"Important: Your SIM card KYC has expired. Your services will be stopped within 24 hours. To update, call 121 or click this link. Don't ignore, your bank is linked to this.",SCAM
"The Reserve Bank of India (RBI) has kept the repo rate unchanged at 6.5% in its latest Monetary Policy Committee meeting to manage inflation.",TRUE
"Breaking: A leading Indian tech company is shutting down its operations and laying off 1 lakh employees tonight. The CEO has fled the country. Viral news on LinkedIn.",FINANCIAL_FAKE
"Big News: A foreign agency has leaked documents showing that the recent train accident was a planned conspiracy by the government to win sympathy. Share this widely.",POLITICAL_FAKE
"Warning! A new group of migrants has entered our colony to spread filth and diseases. We must unite and kick them out before it's too late. Forward this to the society group.",COMMUNAL
"WHO warns: Do not eat chicken for the next 3 months. A new poultry virus is spreading that causes sudden heart attacks in humans. Viral ho raha hai, jaldi share karo.",HEALTH_FAKE
"Hi, I am the manager of Amazon. You are selected for a part-time job. Work 10 minutes a day and get 3000 rupees. Just click the link to start. It's a verified offer.",SCAM
"The Indian Space Research Organisation (ISRO) successfully conducted the landing mission of its reusable launch vehicle, Pushpak, at the Aeronautical Test Range in Karnataka.",TRUE
"Real Estate Scam: The new township project in Gurgaon is built on disputed land. The builder is a fraud and will run away with your booking amount. Share this with buyers.",FINANCIAL_FAKE
"Shocking! The government is secretly installing chips in our brains through the new 5G towers to control our votes. A scientist from NASA has confirmed this. Sabko bhejo.",POLITICAL_FAKE
"Beware: Some people are distributing free masks on the street. They are laced with chemicals that make you unconscious so they can rob your house. Viral alert, forward now.",COMMUNAL
"Dadi Maa ka nuskha: Put a slice of onion in your socks while sleeping. It draws out all toxins and cures fever, cold, and even blocks heart attacks. 100% working, share fast.",HEALTH_FAKE
"Your bank account has been debited with 9,999 rupees for a premium insurance policy you didn't buy. To cancel and get a refund, click here: http://refund-portal.in immediately.",SCAM
"The Ministry of Health and Family Welfare has launched the 'U-WIN' portal to digitize India's Universal Immunization Programme and track every vaccination event.",TRUE
"Bitcoin is now legal tender in India from today. You can buy groceries and tea using Satoshi. PM announced this in a private meeting. Start buying crypto now before price hits 1 crore.",FINANCIAL_FAKE
"Internal report: The government is going to demonetize 100 and 200 rupee notes next month. Only digital currency will be allowed. Convert your cash to gold quickly. Forwarded info.",POLITICAL_FAKE
"A video from the border shows our soldiers being mistreated by locals of a certain religion. This is the reality media won't show you. Wake up Hindus! Viral karo isko.",COMMUNAL
"Avoid drinking cold water after eating. It solidifies the oil you have consumed, which leads to intestinal cancer. Drink only warm water like Chinese people. Forward to save lives.",HEALTH_FAKE
"Dear user, your reward points worth 7,500 are expiring today. Redeem them into your bank account by clicking here. No OTP required for our special customers. Do it now.",SCAM
"India has officially overtaken Hong Kong to become the world's fourth-largest stock market by market capitalization, according to data from Bloomberg.",TRUE
"Emergency: All ATMs in India will be closed for 3 days starting tomorrow due to a massive cyber attack from China. Keep enough cash at home. Breaking news aayi hai.",FINANCIAL_FAKE
"Breaking: A secret pact has been signed to sell India's islands to a foreign company for 99 years. The deal happened behind closed doors. Share this to stop the sale.",POLITICAL_FAKE
"They are burning our shops in the old city! Police is doing nothing because of political pressure. We need to gather at the main square now. Pass this to every brother.",COMMUNAL
"Natural insulin! Just boil ladyfinger (bhindi) in water overnight and drink the water in the morning. Your diabetes will be gone in 1 week. Please don't keep this to yourself.",HEALTH_FAKE
"Final Warning: Your WhatsApp account will be deleted in 48 hours because you haven't paid the maintenance fee of 499. Pay now using this link to keep your chats safe.",SCAM
"The 'Statue of Unity' in Gujarat, dedicated to Vallabhbhai Patel, remains the world's tallest statue with a height of 182 meters.",TRUE
"Sahara India investors big news: The government has started a new portal where you will get double your invested amount as compensation. Register fast at this link.",FINANCIAL_FAKE
"A video is going viral where a politician says he will remove all subsidies if he wins. He thinks the poor are a burden. Watch and decide your vote. Sabko share karo.",POLITICAL_FAKE
"See how they are disrespecting our gods! This video is from a school where teachers are forcing kids to pray to another god. Share until it reaches the Education Minister.",COMMUNAL
"Applying lemon juice on your eyes every morning can remove spectacles forever and cure cataracts. It's a 5000-year-old Vedic secret. Forward karo, jaldi share karo.",HEALTH_FAKE
"Help! A small child needs 'O negative' blood for a heart surgery in AIIMS. Please call 9000000000. Each share will give 10 paise to the family for treatment. Forwarded message.",SCAM
"The Indian Navy successfully commissioned the INS Jatayu, a new naval base at Minicoy Island in Lakshadweep, to strengthen its presence in the Indian Ocean Region.",TRUE
"Urgent: If you have a 'Jan Dhan' account, the government will take 50% of your savings to pay off national debt. Move your money to a private bank account immediately.",FINANCIAL_FAKE
"Shocking! The G20 summit was actually a failure and India lost thousands of crores in the deal. Foreign media is laughing at us. Read the truth here before it's deleted.",POLITICAL_FAKE
"This community is boycotting all Indian products and supporting enemies secretly. We should stop buying from their shops. Economic boycott is the only way. Share everywhere.",COMMUNAL
"Drinking tea on an empty stomach causes 'Acidic Blood' which leads to heart failure. Only drink lemon water. This information is from a big doctor in London. Forward to all.",HEALTH_FAKE
"Hello, I am a courier service executive. Your parcel contains a prohibited item. A case is being filed against you. To settle out of court, pay 25,000 to this UPI ID.",SCAM
"The Indian government has officially implemented the Citizenship Amendment Act (CAA), providing a path to Indian citizenship for persecuted minorities from three neighboring countries.",TRUE
"Alert: A new 'Tax on Savings' is coming from April 1st. You will have to pay 10% tax on any amount kept in your savings account. Withdraw your cash now. Viral ho raha hai.",FINANCIAL_FAKE
"Breaking News: The Supreme Court has ordered the re-evaluation of all election results from the last 10 years due to fraud. Biggest victory for the people! Sabko bhejo.",POLITICAL_FAKE
"Look at this crowd! Thousands of people from one religion have gathered to occupy the highway. This is a threat to national security. Media is silent. Viral karo friends.",COMMUNAL
"Cure for Kidney stones! Just drink 1 glass of watermelon juice mixed with a pinch of baking soda. The stone will melt and come out in urine. Forward to help others.",HEALTH_FAKE
"You have been selected for the 'KBC 2026' online lottery. Your mobile number has won 25 Lakhs. Contact Mr. Rana Pratap on WhatsApp to get your cheque. Don't tell anyone.",SCAM
"India's first underwater metro service was inaugurated in Kolkata, connecting the twin cities of Howrah and Kolkata under the Hooghly River.",TRUE
"Avoid 'Company Y' stocks. They are involved in a massive money laundering case and the stock will hit zero tomorrow. Get out now while you can. Internal source info.",FINANCIAL_FAKE
"A secret recording reveals that the new bill passed in Parliament was actually written by a foreign billionaire to control Indian farmers. Share this truth with everyone.",POLITICAL_FAKE
"These people are poisoning the milk supply in our city. Many children are in hospital. Don't buy milk from 'Them'. Spread the word to every colony group immediately.",COMMUNAL
"NASA has confirmed that the 'Om' sound is actually echoing from the Sun. This proves our ancient science was right. Proud to be Indian. Jaldi share karo aur viral karo.",HEALTH_FAKE
"Urgent: Your KYC for LPG gas connection has expired. To continue receiving subsidy, call 8888888888 and share your Aadhaar number and OTP. This is from the Ministry.",SCAM
"The Indian women's cricket team won the gold medal at the Asian Games 2023 by defeating Sri Lanka in the final match.",TRUE
"Don't use digital payment apps tomorrow. A new virus called 'E-Thief' is spreading through QR codes that will empty your bank account in 1 second. Forwarded as received.",FINANCIAL_FAKE
"Breaking: The government is planning to ban all social media apps except for one government-made app to stop people from criticizing them. Viral news, share fast!",POLITICAL_FAKE
"A historical monument is being secretly converted into a place of worship for another religion. If we don't act now, we will lose our heritage. Forward to all groups.",COMMUNAL
"Mixing turmeric with salt and applying it to your teeth can cure any cavity and whiten teeth in 2 minutes. No need for dentists. Share this simple trick with everyone.",HEALTH_FAKE
"Emergency Alert: Your son has been arrested in a hit-and-run case. He is crying. To release him without a FIR, send 1 lakh rupees immediately via UPI. Don't call anyone.",SCAM
"The Prime Minister Research Fellowship (PMRF) scheme is designed to attract the best talent into research in various IITs, IISc, and IISERs across India.",TRUE
"Huge Scam: Your PF money is being used by the government to fund private companies that are failing. You will never get your pension back. Forward this to all employees.",FINANCIAL_FAKE
"Leaked: The results for the upcoming elections are already decided and the machines are being programmed accordingly. There is no point in voting. Share to expose.",POLITICAL_FAKE
"This video shows how they are celebrating the victory of an enemy country in our own streets. How long will we tolerate this? Share this viral video to wake up the nation.",COMMUNAL
"If you have a headache, just press the tip of your thumb for 5 minutes. It releases 'natural morphine' and kills pain instantly. No need for Saridon. Forward karo.",HEALTH_FAKE
"Update: Your Amazon order worth 45,000 has been shipped to an unknown address. If you didn't order this, cancel it by providing your bank details here: http://fake-cancel.com",SCAM
"India has become the first country to land a spacecraft near the lunar south pole with its Chandrayaan-3 mission.",TRUE
"Breaking: SEBI has banned trading in all small-cap stocks from Monday. Your portfolio will be frozen. Sell everything today. Viral message from a big broker.",FINANCIAL_FAKE
"Shocking News: A top official has resigned saying the government is hiding the real inflation data. The country is actually in a deep depression. Sabko bhejo.",POLITICAL_FAKE
"Information received that a particular group is planning to start a riot tonight in the market area. Stay safe and keep your weapons ready for self-defense. Share fast.",COMMUNAL
"Cure Thyroid in 10 days! Just tie a purple ribbon around your neck while sleeping. The color frequency heals the gland. Scientist from Switzerland confirmed. Forward to all.",HEALTH_FAKE
"You have a pending traffic challan of 5000 rupees. Pay within 1 hour to avoid your driving license being cancelled. Click this link to pay using any UPI app.",SCAM
"The Indian government has launched the 'PM Vishwakarma' scheme to support traditional artisans and craftspeople with credit support and skill upgrading.",TRUE
"Do not accept 10 rupee coins. The government has stopped their production and they will be invalid from next week. Shops have already stopped taking them. Share viral.",FINANCIAL_FAKE
"Breaking: A major state is going to be divided into three parts next month. The decision is already made but not announced. Share this before the media covers it.",POLITICAL_FAKE
"Look at how they are occupying our public parks for their prayers. We are becoming second-class citizens in our own country. Share this photo to every Indian.",COMMUNAL
"Stop using microwave ovens! They produce 'Radioactive Food' that causes permanent damage to the brain and DNA. Use only gas stoves. Forward to your family groups.",HEALTH_FAKE
"Congratulations! You have won a 1000 rupee gift voucher from Myntra. To claim, fill this survey and share it with 10 friends on WhatsApp. Viral ho raha hai offer.",SCAM
"The 2024 general elections in India were conducted in seven phases, making it the largest democratic exercise in the world.",TRUE
"A new law says that if you don't use your bank account for 3 months, the balance will be transferred to the 'National Welfare Fund'. Keep doing transactions. Forwarded info.",FINANCIAL_FAKE
"Breaking: The government is going to provide free internet to everyone for 1 year to celebrate the new digital India policy. Register your mobile number here now.",POLITICAL_FAKE
"This community is spreading false rumors to create panic in our neighborhood. Don't believe them and stay united with our own people. Forward this message to the society.",COMMUNAL
"Miracle of Tulsi! Eating 5 leaves of Tulsi every day makes you immune to all types of cancer and heart diseases. It's the nectar of life. Sabko share karo aur batao.",HEALTH_FAKE
"This is an automated call from FedEx. A package containing illegal passports and drugs has been found in your name. Press 1 to speak with an executive or face arrest.",SCAM
"The Indian Air Force recently inducted the first C-295 transport aircraft, which is being manufactured in India in collaboration with Airbus.",TRUE
"Urgent: All credit card holders must pay a 'Digital Security Fee' of 2000 rupees by tonight or their cards will be blocked permanently. Notification from Ministry of Finance.",FINANCIAL_FAKE
"Exposed: The 'Free Education' scheme is just a trick to collect your personal data and sell it to foreign companies. Don't register your kids. Share this alert.",POLITICAL_FAKE
"Warning! They are hiding in the forest near our village. They are planning an attack tonight. Everyone should stay awake and guard the village. Forward to nearby villages.",COMMUNAL
"Rubbing a cut garlic on your feet can cure pneumonia and chest congestion in children. It's a natural antibiotic. Share this with all mothers. Forwarded message.",HEALTH_FAKE
"Dear Citizen, your electricity subsidy is approved. Please verify your bank account by entering the OTP sent to your phone. This is a one-time offer from the CM office.",SCAM
"The 'Digital India' initiative was launched by the Government of India to ensure that government services are made available to citizens electronically.",TRUE
"Avoid keeping money in small co-operative banks. The government is planning to merge them and you will only get 1 lakh back regardless of your balance. Viral alert.",FINANCIAL_FAKE
"Big News: A secret video shows that the election symbols were swapped in the last minute to favor one party. This is a murder of democracy! Share this viral video.",POLITICAL_FAKE
"They are buying all the land in our area to build their worship places. Soon we will have to leave our homes. Wake up and stop the land deals. Share with all.",COMMUNAL
"Drinking water while standing causes joint pain and kidney failure. Always sit down and drink water in three sips as per Ayurveda. Forward to your health groups.",HEALTH_FAKE
"Important: Your Facebook account has been reported for violating terms. To prevent deletion, login here: http://fb-security-verify.com/login and verify your identity.",SCAM
"India's first solar power plant in space is being planned by ISRO to provide 24/7 clean energy to the country by 2030.",TRUE
"A new 'Tax on Cash Withdrawals' of 5% will be applicable from tomorrow for any amount over 5000. This is to force everyone to use digital apps. Breaking news.",FINANCIAL_FAKE
"Breaking: The Prime Minister has announced that there will be no more taxes for anyone earning less than 10 lakhs from next year. This is a gift for the middle class. Bhejo.",POLITICAL_FAKE
"This group is caught red-handed while mixing chemicals in the water tank of the building. They want to kill us all. See the face of the culprit in this photo. Viral.",COMMUNAL
"A mixture of cinnamon and honey can cure 99 diseases including infertility and hearing loss. This is a hidden medical secret. Forward to help your friends.",HEALTH_FAKE
"You have received a message from the Income Tax Department. A refund of 15,400 is pending. Update your bank details at this link to receive it instantly. Valid for 24 hours.",SCAM
"The 'Ayushman Bharat' scheme provides a health cover of 5 lakh rupees per family per year for secondary and tertiary care hospitalization to over 12 crore families.",TRUE
"Stock Market Crash Alert: A major war is going to start tonight between two big countries. Markets will fall 20% tomorrow. Sell everything today and keep cash. Viral.",FINANCIAL_FAKE
"Shocking! The new bill allows the government to listen to all your private phone calls and read your WhatsApp messages without any permission. Share this warning.",POLITICAL_FAKE
"We should not allow people of that religion to enter our housing society. They are a threat to our culture and safety. Sign this petition and forward to everyone.",COMMUNAL
"Apply ginger paste on your forehead to cure migraines instantly. It's better than any English medicine. Our ancestors were much smarter. Jaldi share karo ye nuskha.",HEALTH_FAKE
"Free Recharge! To celebrate India's victory, everyone is getting a 3-month free recharge of 749 rupees. Click here to get yours: http://free-recharge-offer.in. Sabko bhejo.",SCAM
"The TATA Group has officially taken over the management of Air India, returning the airline to its original founders after several decades of government control.",TRUE
"URGENT: All 'Fixed Deposits' will be frozen for 6 months to help the government manage the current financial crisis. Withdraw your money before the banks close tonight.",FINANCIAL_FAKE
"Breaking: A top leader has been caught with 5000 crores of cash in his basement. The media is not showing this because they are scared. Share this photo viral karo.",POLITICAL_FAKE
"A religious procession was attacked with stones from the rooftop of a house belonging to 'Them'. We must take revenge. Gather at the chowk in 30 minutes. Forward.",COMMUNAL
"Drinking apple cider vinegar every morning can dissolve any blockage in the heart valves. No need for surgery. Save your money and health. Share this life-saving tip.",HEALTH_FAKE
"Warning from RBI: If you receive a call starting with +92, do not pick up. It's a hacking code that will record your voice and use it to withdraw money from your bank.",SCAM
"India's first indigenous aircraft carrier, INS Vikrant, was built by Cochin Shipyard and commissioned into the Indian Navy to bolster maritime security.",TRUE
"A new law is coming where you have to pay 100 rupees every time you use an ATM. This is to promote a cashless economy. Breaking news aayi hai, share fast.",FINANCIAL_FAKE
"Leaked Report: The census data shows that the majority population will become a minority in 20 years. We must act now to save our nation. Viral ho raha hai, sabko bhejo.",POLITICAL_FAKE
"See this video of how they are insulting our national flag. These people are traitors and should be sent to the border. Share until they are arrested by the police.",COMMUNAL
"Eating curd with sugar before going out is not just a tradition but a scientific way to prevent heatstroke and keep the brain cool. Forward this to students.",HEALTH_FAKE
"Your Jio SIM will be deactivated today because you haven't completed the e-KYC. Call 9999999999 to update. If you don't call, your number will be given to someone else.",SCAM
"The Ministry of Jal Shakti has reported that under the Jal Jeevan Mission, over 70% of rural households in India now have access to tap water connections.",TRUE
"Big Financial Scam: The 'Mutual Fund' industry is going to collapse because of a major fraud in the top 3 companies. Take your money out now. Share with your family.",FINANCIAL_FAKE
"Breaking: The government has decided to stop all pension schemes from next month to save money for the new weapon purchase. This is a blow to senior citizens. Share.",POLITICAL_FAKE
"This community is taking over all the small businesses in the city. We must only buy from our own people to support our brothers. Share this message in all groups.",COMMUNAL
"Cure for COVID and Flu! Just put 2 drops of lemon in each nostril. It kills the virus in the throat and lungs immediately. Tried and tested by many. Forward karo.",HEALTH_FAKE
"Urgent: There is a problem with your PAN card. Your bank account will be frozen in 2 hours. To fix it, click here and provide your login details. Do not ignore.",SCAM
"The Indian contingent won a total of 107 medals at the Asian Games 2023, marking their best-ever performance in the history of the games.",TRUE
"Breaking: Gold will be banned for private citizens. You can only keep 100 grams. Anything more will be seized by the IT department. Start selling your gold now.",FINANCIAL_FAKE
"Exposed: The 'Digital India' portal is being hacked by enemies and all our data is being sold on the dark web. The government is silent. Share this truth with all.",POLITICAL_FAKE
"They are kidnapping our daughters and brainwashing them. Beware of the 'Love Trap' in colleges. Parents should monitor their children's phones. Forward this warning.",COMMUNAL
"World's best medicine! Mixing cow urine with honey can cure any stomach ailment including ulcers and liver problems. Scientific proof available. Share to save lives.",HEALTH_FAKE
"You have a refund of 2,500 from your last LPG booking. To get the money, scan this QR code and enter your UPI PIN. This is a festive offer from Indian Oil.",SCAM
"The Indian government has launched the 'PM-KUSUM' scheme to provide solar pumps and other renewable energy plants to farmers across the country.",TRUE
"Urgent Financial News: All 2000 rupee notes are becoming waste paper from tomorrow morning. There is no exchange window this time. Use them tonight or lose money. Viral.",FINANCIAL_FAKE
"Breaking: A major state governor has resigned saying that the elections were completely rigged. The democracy is in danger. Share this news before it is censored.",POLITICAL_FAKE
"Look at how they are behaving in the train! They are harassing women and shouting religious slogans. We are not safe anymore. Share this video everywhere.",COMMUNAL
"Cure for Asthma! Just eat a specific small fish from Hyderabad on a particular day. It clears the lungs forever. Thousands of people have been cured. Forward to all.",HEALTH_FAKE
"Alert: Your Netflix account is being used from a different city. If this is not you, click here to secure your account and change your password. Only 10 mins left.",SCAM
"The Indian Railways has successfully tested the 'Kavach' system, an indigenously developed Automatic Train Protection (ATP) system to prevent accidents.",TRUE
"Breaking: A big share market scam has been unearthed involving 50,000 crores. Many big names are involved. The market will hit lower circuit tomorrow. Sell everything.",FINANCIAL_FAKE
"Shocking: The government is planning to tax every 'Like' and 'Comment' on social media to control the public opinion. This is the end of free speech. Share this.",POLITICAL_FAKE
"They are building a secret tunnel under the city to store weapons and explosives. The police found it but are not telling the public. Be alert and share this.",COMMUNAL
"Sleeping with a mobile phone near your head causes brain tumors in just 5 years. The radiation is 10 times more dangerous at night. Please forward to your children.",HEALTH_FAKE
"Help! This poor girl is lost in the Kumbh Mela. Her name is Riya. Please share her photo in all groups so she can find her parents. Every share counts. Forwarded.",SCAM
"The Indian government has announced the 'PM MITRA' scheme to set up seven mega integrated textile regions and apparel parks across the country.",TRUE
"Attention: All 'Credit Card' points will be nullified from tonight due to new RBI rules. Redeem them for cash now at this link. Don't let your hard-earned points go.",FINANCIAL_FAKE
"Exposed: A foreign news agency has reported that the Prime Minister is actually a citizen of another country. Here is the copy of his passport. Viral ho raha hai.",POLITICAL_FAKE
"A video shows a group of people from one religion refusing to sing the national anthem. These people are living on our land but hate our country. Share this viral.",COMMUNAL
"Drinking coconut water at night can cause a heart attack because it thins the blood too much. Only drink it in the morning before 11 AM. Forward to your family.",HEALTH_FAKE
"URGENT: Your HDFC bank account is temporarily suspended due to a security breach. Click here to verify your identity and restore access: http://hdfc-secure.com",SCAM
"The Indian economy grew by 8.4% in the third quarter of the 2023-24 financial year, exceeding all market expectations.",TRUE
"Alert: A new 'Wealth Tax' is coming. If you have more than 1 crore in your bank, 20% will be taken by the government for social schemes. Withdraw your money now.",FINANCIAL_FAKE
"Breaking News: The Election Commission has been caught changing the EVM machines at night. A brave officer has leaked the video. See the truth here and share.",POLITICAL_FAKE
"They are poisoning our fruits and vegetables with injections. See this video where a man is caught doing it. Only buy from 'Our' shops. Spread this message fast.",COMMUNAL
"Cure for Baldness! Just rub a slice of onion with salt on your head every day. New hair will grow in 15 days. Tested by millions. Share this secret with everyone.",HEALTH_FAKE
"You have won a free iPhone 15 in the Amazon 'Great Indian Festival' spin-and-win. Only 5 units left. Pay 499 for shipping to claim yours. Click here now.",SCAM
"The 'One Nation, One Ration Card' scheme allows migrant workers and their family members to buy subsidized grains from any Fair Price Shop in the country.",TRUE
"Breaking Financial News: All bank transfers will be stopped for 2 days for a 'Currency Audit'. No UPI or NEFT will work. Keep cash for emergencies. Viral news.",FINANCIAL_FAKE
"Shocking! A leaked document shows that the government is planning to increase the retirement age to 70 for all government employees. Share this with your colleagues.",POLITICAL_FAKE
"A religious place is being used to hide illegal immigrants and criminals. The police are afraid to enter. We must protest and demand action. Forward to all groups.",COMMUNAL
"Eating chocolate and then drinking cold water causes instant paralysis because of a chemical reaction in the throat. A doctor from Apollo has warned. Forward fast.",HEALTH_FAKE
"Important: Your electricity bill is pending for 3 months. Our team is coming to cut the wire in 30 minutes. To stop this, pay 1500 to this number immediately.",SCAM
"The Indian Space Research Organisation (ISRO) has launched the INSAT-3DS meteorological satellite to enhance weather forecasting and disaster warning services.",TRUE
"Alert: A major mobile wallet company has gone bankrupt. All your balance is gone. Try to transfer your money to your bank account immediately. Viral message.",FINANCIAL_FAKE
"Breaking: The government has decided to give 20,000 rupees to every girl child born this year under a new secret scheme. Register here before it becomes public.",POLITICAL_FAKE
"Look at this crowd! They are shouting slogans against our country in the middle of the capital city. Why is the media silent? Share this video to show the truth.",COMMUNAL
"Avoid eating fish and milk together. It causes 'White Patches' (Vitiligo) on the skin which cannot be cured. This is a scientific fact. Forward to all your friends.",HEALTH_FAKE
"Urgent: Your Aadhaar card is being used for illegal activities in another state. To clear your name, speak to the police officer on this call. Do not hang up.",SCAM
"The 'Pradhan Mantri Awas Yojana' has completed over 1.18 crore houses for the urban poor since its inception in 2015.",TRUE
"Breaking: The government is going to tax all 'Gift' money received from relatives on WhatsApp. Even 100 rupees will be taxed. This is a digital tax. Share this info.",FINANCIAL_FAKE
"Shocking! A video shows a top minister taking a bribe from a foreign company to allow them to sell expired medicines in India. Share this viral video to expose him.",POLITICAL_FAKE
"They are attacking our temples and breaking the idols at night. This is a planned conspiracy to destroy our religion. Wake up and guard your local temple. Forward.",COMMUNAL
